,Timestamp,Busy,Finished
0,1674917023.4643214,"[1, 0, 0]",0.0
1,1674917023.4673302,"[1, 1, 0]",0.0
2,1674917026.4816618,"[1, 0, 0]",1.0
3,1674917026.485852,"[0, 0, 0]",2.0
4,1674917027.104193,"[1, 0, 0]",2.0
5,1674917027.1058025,"[1, 1, 0]",2.0
6,1674917030.124367,"[0, 1, 0]",3.0
7,1674917030.141611,"[0, 0, 0]",4.0
8,1674917030.8073149,"[1, 0, 0]",4.0
9,1674917030.8093145,"[1, 1, 0]",4.0
10,1674917033.818746,"[0, 1, 0]",5.0
11,1674917033.829685,"[0, 0, 0]",6.0
12,1674917034.4919593,"[1, 0, 0]",6.0
13,1674917034.4944673,"[1, 1, 0]",6.0
14,1674917037.500979,"[1, 0, 0]",7.0
15,1674917037.5112605,"[0, 0, 0]",8.0
16,1674917038.1334157,"[1, 0, 0]",8.0
17,1674917038.1406631,"[1, 1, 0]",8.0
18,1674917041.1545954,"[0, 1, 0]",9.0
19,1674917041.170012,"[0, 0, 0]",10.0
